symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2026-04-01,NSE,EQ,EQ,buy,false,386.000000,258.589996,402854334,1200000031104132,2026-04-01T10:45:23
NIFTYBEES,INF204KB14I2,2026-04-07,NSE,EQ,EQ,buy,false,383.000000,261.470001,407142619,1200000090883855,2026-04-07T15:43:59
NIFTYBEES,INF204KB14I2,2026-06-15,NSE,EQ,EQ,buy,false,22.000000,271.700012,403725667,1200000034420870,2026-06-15T11:02:00
NIFTYBEES,INF204KB14I2,2026-06-15,NSE,EQ,EQ,buy,false,345.000000,271.700012,403725666,1200000034420870,2026-06-15T11:02:00
NIFTYBEES,INF204KB14I2,2026-06-15,NSE,EQ,EQ,buy,false,185.000000,271.510010,403758128,1200000034787609,2026-06-15T11:03:30
NIFTYBEES,INF204KB14I2,2026-06-30,NSE,EQ,EQ,buy,false,366.000000,272.640015,403799057,1200000038810046,2026-06-30T11:29:09
LIQUIDBEES,INF732E01037,2026-07-07,NSE,EQ,EQ,buy,false,50.000000,1000.000000,405204377,1200000052056868,2026-07-07T12:48:20
